间隔,出现次数
738,9
739,11
740,5
741,4
742,6
743,3
744,4
745,1
746,4
747,6
748,6
749,5
750,8
751,7
752,7
753,6
754,4
755,4
756,4
757,4
758,5
759,6
760,4
761,1
762,7
763,6
764,4
765,3
766,7
767,4
768,6
769,3
770,2
771,4
772,5
773,7
774,1
776,3
777,5
778,4
779,5
780,3
781,4
782,3
783,5
784,3
785,3
786,3
787,1
788,1
789,4
790,3
791,3
792,3
793,4
794,3
795,5
796,1
797,7
798,4
799,2
800,1
801,2
802,2
803,7
804,3
805,2
806,6
807,2
808,3
809,2
810,6
811,2
812,4
813,3
814,3
815,6
816,4
817,3
818,3
819,2
820,2
821,2
822,1
823,4
824,2
825,1
826,4
827,3
828,2
829,1
830,3
831,1
832,2
833,2
834,3
835,1
836,1
837,1
838,2
839,2
840,3
841,3
842,2
843,5
844,2
845,3
846,2
847,4
848,2
849,2
850,2
851,2
853,2
854,3
855,4
856,2
857,3
858,1
859,2
861,2
862,1
863,1
864,2
865,1
866,2
867,1
868,2
869,2
872,5
873,2
874,2
875,2
876,2
877,4
878,1
879,1
880,2
881,1
882,1
883,2
884,3
885,2
887,2
888,3
889,1
891,1
893,3
895,1
896,3
897,1
898,1
899,1
900,2
902,3
903,1
904,1
906,2
907,1
910,1
911,1
914,1
915,2
916,3
917,2
920,2
921,2
925,2
926,1
928,1
930,3
933,1
934,2
935,1
939,1
940,1
941,1
942,2
943,1
946,1
947,2
948,3
949,2
951,1
953,2
954,2
955,1
956,2
966,1
968,1
971,1
979,2
982,2
983,1
984,3
987,1
988,1
991,2
994,1
996,2
997,1
998,1
999,1
1000,1
1001,1
1002,1
1006,2
1009,3
1012,1
1016,1
1019,1
1020,1
1027,1
1029,3
1036,1
1037,1
1038,2
1040,1
1043,1
1045,1
1048,2
1049,1
1050,1
1053,1
1059,2
1061,1
1070,1
1079,1
1089,1
1093,1
1102,1
1104,2
1111,2
1122,2
1129,1
1135,2
1140,1
1153,1
1159,1
1160,1
1180,2
1200,1
1218,1
1243,1
1248,1
1292,1
